rank,model_id,model_name,source_run,params,folds,mean_count_mae,std_count_mae,mean_pos_mae,mean_neg_mae
1,S4,BiCRNN,structure comparison,700001,15,0.4735,0.4684,0.9828,0.3185
2,S7,TCN-Attn,structure comparison,692609,15,0.5205,0.4859,1.2564,0.3
3,S8,TCN+UniGRU,matched extra structure run,699297,15,0.5208,0.482,1.1965,0.3211
4,S9,TCN+BiGRU,structure comparison,698209,15,0.5281,0.4333,1.2991,0.298
5,S3,CRNN,structure comparison,700001,15,0.5574,0.4371,1.3512,0.3188
6,S5,BiGRU,matched extra structure run,703969,15,0.5747,0.39,1.4666,0.3007
7,S6,TCN,structure comparison,699521,15,0.7887,0.4029,1.9368,0.4525
8,S1,DSCNN,structure comparison,699974,15,0.9398,0.5342,1.8814,0.6622
9,S0,CNN1D,structure comparison,726641,15,1.0931,0.4528,2.0426,0.8176
10,S2,ResCNN,structure comparison,699905,15,1.1328,0.5642,2.0101,0.8751
