model_id,model_name,original_model_id,fold,test_subject,count_mae,count_mae_pos,count_mae_neg,mean_pred_count_on_neg,mean_gt_count_on_pos,num_test_samples,source_path
S0,CNN1D,S0,0,14287,0.9867855227270792,4.6052988629008444,0.08215718992530953,0.08215718992530953,9.104665401370026,430,runs/loso_structure_compare_v2_0p7m_20260520_163130/S0/fold_00_test_14287/test_results.json
S0,CNN1D,S0,1,14342,1.0260517817277175,1.5938286319855721,0.8482630541830352,0.8482630541830352,11.188558024744834,260,runs/loso_structure_compare_v2_0p7m_20260520_163130/S0/fold_01_test_14342/test_results.json
S0,CNN1D,S0,2,14547,0.692478157394561,1.0173518820242449,0.6014307456411374,0.6014307456411374,11.529829502105713,402,runs/loso_structure_compare_v2_0p7m_20260520_163130/S0/fold_02_test_14547/test_results.json
S0,CNN1D,S0,3,20794,0.6416706811814081,2.284115723201207,0.1284065910814596,0.1284065910814596,8.121994781494141,294,runs/loso_structure_compare_v2_0p7m_20260520_163130/S0/fold_03_test_20794/test_results.json
S0,CNN1D,S0,4,38936,1.0464275166539863,2.4392905438199954,0.6240755392659095,0.6240755392659095,11.453274179012217,404,runs/loso_structure_compare_v2_0p7m_20260520_163130/S0/fold_04_test_38936/test_results.json
S0,CNN1D,S0,5,47779,1.0881536819415385,3.8214750630514964,0.2502011670968937,0.2502011670968937,12.405769620622907,358,runs/loso_structure_compare_v2_0p7m_20260520_163130/S0/fold_05_test_47779/test_results.json
S0,CNN1D,S0,6,49661,2.059277596473694,0.19187772274017334,2.6170723469226393,2.6170723469226393,9.380694493003514,400,runs/loso_structure_compare_v2_0p7m_20260520_163130/S0/fold_06_test_49661/test_results.json
S0,CNN1D,S0,7,55502,0.5771377383025138,0.9874377568562825,0.44236765921550947,0.44236765921550947,15.24731313917372,364,runs/loso_structure_compare_v2_0p7m_20260520_163130/S0/fold_07_test_55502/test_results.json
S0,CNN1D,S0,8,74768,1.1360068520950397,4.273894797671925,0.19677509057975442,0.19677509057975442,10.36668348312378,382,runs/loso_structure_compare_v2_0p7m_20260520_163130/S0/fold_08_test_74768/test_results.json
S0,CNN1D,S0,9,76918,1.4638557545492583,2.6586779993633893,1.1634033869581613,1.1634033869581613,12.481145370838254,428,runs/loso_structure_compare_v2_0p7m_20260520_163130/S0/fold_09_test_76918/test_results.json
S0,CNN1D,S0,10,84479,0.6032801448030675,1.4809753461317583,0.33509549374381703,0.33509549374381703,10.07782682505521,376,runs/loso_structure_compare_v2_0p7m_20260520_163130/S0/fold_10_test_84479/test_results.json
S0,CNN1D,S0,11,86463,1.4459361095926655,2.280691936612129,1.1840519285669513,1.1840519285669513,14.012078046798706,268,runs/loso_structure_compare_v2_0p7m_20260520_163130/S0/fold_11_test_86463/test_results.json
S0,CNN1D,S0,12,87369,0.5468883928054017,1.1559386199170893,0.3540955263076069,0.3540955263076069,9.75364654714411,366,runs/loso_structure_compare_v2_0p7m_20260520_163130/S0/fold_12_test_87369/test_results.json
S0,CNN1D,S0,13,87447,1.1614468983954784,0.9756889850535291,1.222076212366422,1.222076212366422,10.174339375597365,382,runs/loso_structure_compare_v2_0p7m_20260520_163130/S0/fold_13_test_87447/test_results.json
S0,CNN1D,S0,14,97706,1.9217205628525786,0.8719353093657383,2.2148423876081194,2.2148423876081194,10.887312950089921,394,runs/loso_structure_compare_v2_0p7m_20260520_163130/S0/fold_14_test_97706/test_results.json
S1,DSCNN,S1,0,14287,0.3487497712290564,1.1027632147766824,0.1602463952217741,0.1602463952217741,9.104665401370026,430,runs/loso_structure_compare_v2_0p7m_20260520_163130/S1/fold_00_test_14287/test_results.json
S1,DSCNN,S1,1,14342,1.0480085629683273,1.8083126083497079,0.8099335660838117,0.8099335660838117,11.188558024744834,260,runs/loso_structure_compare_v2_0p7m_20260520_163130/S1/fold_01_test_14342/test_results.json
S1,DSCNN,S1,2,14547,0.4480116168657939,1.401332681829279,0.18083884362072036,0.18083884362072036,11.529829502105713,402,runs/loso_structure_compare_v2_0p7m_20260520_163130/S1/fold_02_test_14547/test_results.json
S1,DSCNN,S1,3,20794,0.5202506610325405,1.9690638882773264,0.06749650528308848,0.06749650528308848,8.121994781494141,294,runs/loso_structure_compare_v2_0p7m_20260520_163130/S1/fold_03_test_20794/test_results.json
S1,DSCNN,S1,4,38936,0.8152058997956833,2.135618524348482,0.4148226999467419,0.4148226999467419,11.453274179012217,404,runs/loso_structure_compare_v2_0p7m_20260520_163130/S1/fold_04_test_38936/test_results.json
S1,DSCNN,S1,5,47779,0.8838600206641511,3.0243765058971586,0.2276432710176293,0.2276432710176293,12.405769620622907,358,runs/loso_structure_compare_v2_0p7m_20260520_163130/S1/fold_05_test_47779/test_results.json
S1,DSCNN,S1,6,49661,1.3969240951538087,0.15352308750152588,1.7683295739161504,1.7683295739161504,9.380694493003514,400,runs/loso_structure_compare_v2_0p7m_20260520_163130/S1/fold_06_test_49661/test_results.json
