model_id,model_name,params,main_structure,key_config
S0,CNN1D,726641,Conv1d-BN-ReLU-Dropout x5,"channels=[48,96,160,224,288]; kernel=5; head=1x1 Conv"
S1,DSCNN,699974,Depthwise-separable residual CNN,"channels=[128,160,224,224,320]; kernel=3; 5 DS residual blocks"
S2,ResCNN,699905,Residual CNN,"channels=[64,192,256]; kernel=3; 3 residual blocks"
S3,CRNN,700001,CNN + unidirectional GRU,"cnn_channels=[96,128,128,144,176]; kernel=3; gru_hidden=256"
S4,BiCRNN,700001,CNN + bidirectional GRU,"cnn_channels=[64,144,176,224,224]; kernel=3; gru_hidden=112 per direction"
S5,BiGRU,703969,Pointwise projection + bidirectional GRU,proj_channels=288; gru_hidden=192 per direction
S6,TCN,699521,Residual dilated TCN,"channels=160; layers=4; kernel=3; dilations=[1,2,4,8]"
S7,TCN-Attn,692609,TCN + self-attention,"channels=128; tcn_layers=5; dilations=[1,2,4,8,16]; attn_heads=1; attn_layers=1"
S8,TCN+UniGRU,699297,TCN + unidirectional GRU,"tcn_channels=128; tcn_layers=4; dilations=[1,2,4,8]; gru_hidden=224"
S9,TCN+BiGRU,698209,TCN + bidirectional GRU,"tcn_channels=128; tcn_layers=4; dilations=[1,2,4,8]; gru_hidden=144 per direction"
